"filename", "language", "C++", "C", "comment", "blank", "total"
"/home/asemones/Documents/personal_code/dbase/src/db/backend/compactor.h", "C++", 1, 0, 2, -1, 2
"/home/asemones/Documents/personal_code/dbase/src/db/backend/dal/metadata.h", "C++", -1, 0, 0, 0, -1
"/home/asemones/Documents/personal_code/dbase/src/db/backend/iter.h", "C++", 86, 0, 0, 5, 91
"/home/asemones/Documents/personal_code/dbase/src/db/backend/json.h", "C++", 1, 0, -8, 0, -7
"/home/asemones/Documents/personal_code/dbase/src/db/backend/lsm.h", "C++", 11, 0, 0, 2, 13
"/home/asemones/Documents/personal_code/dbase/src/db/backend/sst_builder.h", "C++", -1, 0, 0, 0, -1
"/home/asemones/Documents/personal_code/dbase/src/ds/frontier.h", "C++", 16, 0, 0, 0, 16
"/home/asemones/Documents/personal_code/dbase/src/ds/hashtbl.h", "C++", -3, 0, 0, 1, -2
"/home/asemones/Documents/personal_code/dbase/src/ds/list.h", "C++", 3, 0, 0, 0, 3
"/home/asemones/Documents/personal_code/dbase/src/ds/nonshitheap.h", "C++", -81, 0, -1, -14, -96
"/home/asemones/Documents/personal_code/dbase/src/tests/test_iter.h", "C++", 61, 0, 1, 30, 92
"/home/asemones/Documents/personal_code/dbase/src/tests/test_util_funcs.h", "C++", 78, 0, 1, 13, 92
"/home/asemones/Documents/personal_code/dbase/src/tests/testcompactor.h", "C++", -67, 0, -1, -13, -81
"/home/asemones/Documents/personal_code/dbase/src/tests/testjson.h", "C++", -2, 0, 0, 0, -2
"/home/asemones/Documents/personal_code/dbase/src/tests/testlsm.h", "C++", -3, 0, 0, 0, -3
"/home/asemones/Documents/personal_code/dbase/src/tests/testrunner.c", "C", 0, 1, 7, -2, 6
"/home/asemones/Documents/personal_code/dbase/src/util/alloc_util.h", "C", 0, -1, 0, 0, -1
"/home/asemones/Documents/personal_code/dbase/src/util/stringutil.h", "C++", 1, 0, 0, 1, 2
"Total", "-", 100, 0, 1, 22, 123